Sample,dn01,dn02,dn03,dn04,dn05,dn06,dn07,dn08,dn09,dn10,dn11,dn12,dn13,dn14,Coop,Lead,O,C,E,A,N
DNA 202,4,2,5,5,4,1,3,5,3,4,3,1,5,5,4.5,4.333333333,3.4,4,4,3.8,2.2
DNA 203,4,1,5,2,4,2,2,5,2,4,1,1,5,4,3,4.333333333,4.6,4,4,5,2.8
DNA 204,3,3,2,3,1,3,3,2,2,1,1,5,2,1,3.5,4,4,3.8,3.4,3.8,3
DNA 205,2,5,3,5,4,1,3,3,5,1,5,3,2,4,3,3,4,4.2,3.2,4,3.4
DNA 206,3,3,4,2,5,4,4,4,5,4,4,1,3,3,2.5,2.666666667,2.6,3.4,3.2,3.2,3.25
DNA 208,4,1,4,4,3,1,3,4,3,3,2,2,5,4,4.5,3.666666667,3.6,3.2,3.25,4,3
DNA 209,3,3,4,4,4,1,3,4,5,2,3,3,3,3,3,2.666666667,3,3.6,2.2,3.6,4
DNA 210,4,2,5,4,5,2,4,5,5,4,4,1,4,4,3,2.333333333,3.4,3.8,2.4,3.4,2.6
DNA 212,2,1,4,3,2,1,3,4,4,1,2,2,4,2,3.5,2.666666667,2.4,2.8,3,3.2,3.4
DNA 213,4,3,4,1,5,3,3,4,4,4,3,1,3,3,2.5,3.666666667,3,3,3.2,2.4,3.2
DNA 215,2,3,4,3,4,2,4,4,5,3,4,1,3,3,4,4.333333333,3,4.2,4,4,3.4
DNA 217,1,3,4,5,2,1,5,4,4,2,5,3,4,4,5,4.333333333,4.4,3.6,3.2,4.8,2.8
DNA 218,3,4,3,4,4,2,2,3,4,2,4,3,2,4,5,4.333333333,4.2,4,2.4,4.6,3.2
DNA 219,4,2,4,5,3,2,4,4,3,4,3,3,5,4,3,3.666666667,3.8,3.6,2.2,3.6,3.2
DNA 220,2,4,3,5,3,1,3,3,5,2,4,4,2,3,3.5,3,2.6,4.4,3.2,4.6,1.8
DNA 221,3,4,2,4,3,2,2,2,4,1,3,4,1,3,3.5,3.666666667,2.8,3.8,4,3.8,3.4
DNA 223,3,3,4,4,4,2,4,4,5,3,4,3,3,3,3,2.666666667,2.2,3.6,2.2,3.2,2
DNA 224,3,2,4,4,2,2,4,4,3,3,2,3,4,3,3.5,3.333333333,3,4.4,2.6,3.4,2.8
DNA 226,3,2,3,3,2,1,3,3,5,2,2,3,2,1,2.5,3,4.2,3.6,3.6,3.8,2.6
DNA 227,5,1,5,4,3,2,4,5,3,5,2,2,5,4,3.5,3.333333333,3.4,3.8,3.4,3.4,3.4
DNA 228,2,2,3,3,2,1,3,3,3,2,1,3,3,2,4.5,3.333333333,4.4,3.8,2.4,3.8,3.2
DNA 229,4,2,2,1,2,2,2,2,3,1,1,4,2,1,3,3,3.6,3,2,2.8,3.8
DNA 23,1,4,1,3,2,4,3,2,1,2,3,3,1,2,4.5,3.666666667,4.6,3.6,3.8,5,2
DNA 230,4,2,4,3,4,2,4,4,5,4,3,1,3,3,3.5,3.333333333,3.4,2.8,3.6,3.8,3
DNA 231,3,2,4,3,5,1,3,4,5,3,3,1,3,4,5,3.333333333,4.2,4.2,2.2,3.4,3.6
DNA 232,3,2,3,3,2,2,4,3,4,2,2,3,3,1,4.5,2,3,3.4,2.8,4.4,3.6
DNA 233,4,2,3,2,2,4,2,3,2,3,2,3,3,2,3,4.333333333,3.4,3.4,3.4,3.8,3.2
DNA 234,4,3,4,3,4,4,2,4,2,4,3,3,4,4,4.5,3.333333333,4.2,3.6,3.2,5,2.4
DNA 235,3,4,3,4,3,3,3,3,2,3,3,3,3,4,3.5,4.666666667,5,3,4.6,4.6,2.6
DNA 236,4,3,3,3,2,4,2,3,2,3,3,4,3,3,2.5,4,4.2,3.6,3.2,4,2
DNA 237,2,4,3,4,4,3,5,3,5,3,5,3,2,3,2.5,2.333333333,3.8,4.2,2.6,3.6,2.8
